ID,Mother,Father,Maternal_line,Paternal_line,Cross_CT_HT,Cross_WS,Replicate,Transect,Altitude_origin,Site_number,Trait,Batch_CT,Batch_HT,Offspring_CT,Taken_CT,TimeHT_SECS,TimeHT_MINS,Centroid_Size,Log_Centroid_Size,Transplant_site,Cage,Emergence,Rel_fitness_emergence,Survivors,Rel_fitness_survivors
561,39,274,PA16,PA16,62,NA,A,Paluma,High,14,Cold_tolerance,1,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
562,39,274,PA16,PA16,62,NA,A,Paluma,High,14,Cold_tolerance,1,NA,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
563,39,274,PA16,PA16,62,NA,A,Paluma,High,14,Heat_tolerance,NA,4,NA,NA,687,11.45,NA,NA,NA,NA,NA,NA,NA,NA
564,39,274,PA16,PA16,62,NA,A,Paluma,High,14,Heat_tolerance,NA,2,NA,NA,701,11.68333333,NA,NA,NA,NA,NA,NA,NA,NA
565,40,275,PA16,PA16,62,NA,B,Paluma,High,14,Cold_tolerance,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
566,40,275,PA16,PA16,62,NA,B,Paluma,High,14,Cold_tolerance,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
567,40,275,PA16,PA16,62,NA,B,Paluma,High,14,Cold_tolerance,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
568,40,275,PA16,PA16,62,NA,B,Paluma,High,14,Heat_tolerance,NA,8,NA,NA,484,8.066666667,NA,NA,NA,NA,NA,NA,NA,NA
569,40,275,PA16,PA16,62,NA,B,Paluma,High,14,Heat_tolerance,NA,3,NA,NA,959,15.98333333,NA,NA,NA,NA,NA,NA,NA,NA
570,41,276,PA16,PA16,62,NA,C,Paluma,High,14,Cold_tolerance,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
571,41,276,PA16,PA16,62,NA,C,Paluma,High,14,Cold_tolerance,2,NA,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
572,41,276,PA16,PA16,62,NA,C,Paluma,High,14,Cold_tolerance,1,NA,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
573,41,276,PA16,PA16,62,NA,C,Paluma,High,14,Heat_tolerance,NA,4,NA,NA,362,6.033333333,NA,NA,NA,NA,NA,NA,NA,NA
574,41,276,PA16,PA16,62,NA,C,Paluma,High,14,Heat_tolerance,NA,2,NA,NA,936,15.6,NA,NA,NA,NA,NA,NA,NA,NA
575,41,276,PA16,PA16,62,NA,C,Paluma,High,14,Heat_tolerance,NA,8,NA,NA,1019,16.98333333,NA,NA,NA,NA,NA,NA,NA,NA
576,42,277,PA90,PA16,63,NA,A,Paluma,High,14,Cold_tolerance,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
577,42,277,PA90,PA16,63,NA,A,Paluma,High,14,Cold_tolerance,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
578,42,277,PA90,PA16,63,NA,A,Paluma,High,14,Cold_tolerance,1,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
579,42,277,PA90,PA16,63,NA,A,Paluma,High,14,Heat_tolerance,NA,3,NA,NA,1362,22.7,NA,NA,NA,NA,NA,NA,NA,NA
580,43,278,PA90,PA16,63,NA,B,Paluma,High,14,Heat_tolerance,NA,3,NA,NA,1790,29.83333333,NA,NA,NA,NA,NA,NA,NA,NA
581,44,279,PA90,PA16,63,NA,C,Paluma,High,14,Cold_tolerance,1,NA,33,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
582,44,279,PA90,PA16,63,NA,C,Paluma,High,14,Heat_tolerance,NA,9,NA,NA,696,11.6,NA,NA,NA,NA,NA,NA,NA,NA
583,44,279,PA90,PA16,63,NA,C,Paluma,High,14,Heat_tolerance,NA,4,NA,NA,1403,23.38333333,NA,NA,NA,NA,NA,NA,NA,NA
584,44,279,PA90,PA16,63,NA,C,Paluma,High,14,Heat_tolerance,NA,2,NA,NA,3442,57.36666667,NA,NA,NA,NA,NA,NA,NA,NA
