ID,Dam,Sire
2812,1888,2111
2813,1888,2111
2814,1889,2112
2815,1889,2112
2816,1889,2112
2817,1889,2112
2818,1889,2112
2819,1889,2112
2820,1890,2113
2821,1890,2113
2822,1890,2113
2823,1891,2114
2824,1891,2114
2825,1892,2115
2826,1893,2116
2827,1894,2117
2828,1894,2117
2829,1894,2117
2830,1895,2118
2831,1895,2118
2832,1895,2118
2833,1895,2118
2834,1895,2118
2835,1896,2119
2836,1896,2119
2837,1896,2119
2838,1896,2119
2839,1896,2119
2840,1896,2119
2841,1897,2120
2842,1897,2120
2843,1897,2120
2844,1897,2120
2845,1897,2120
2846,1898,2121
2847,1898,2121
2848,1898,2121
2849,1898,2121
2850,1898,2121
2851,1899,2122
2852,1899,2122
2853,1899,2122
2854,1899,2122
2855,1900,2123
2856,1900,2123
2857,1900,2123
2858,1900,2123
2859,1900,2123
2860,1901,2124
2861,1901,2124
2862,1901,2124
2863,1901,2124
2864,1901,2124
2865,1902,2125
2866,1902,2125
2867,1902,2125
2868,1902,2125
2869,1903,2126
2870,1903,2126
2871,1903,2126
2872,1903,2126
2873,1903,2126
2874,1904,2127
2875,1904,2127
2876,1904,2127
2877,1904,2127
2878,1904,2127
2879,1905,2128
2880,1905,2128
2881,1905,2128
2882,1905,2128
2883,1906,2129
2884,1906,2129
2885,1906,2129
2886,1906,2129
2887,1906,2129
2888,1906,2129
2889,1907,2130
2890,1907,2130
2891,1907,2130
2892,1907,2130
2893,1907,2130
2894,1908,2131
2895,1908,2131
2896,1908,2131
2897,1908,2131
2898,1908,2131
2899,1908,2131
2900,1908,2131
2901,1909,2132
2902,1909,2132
2903,1909,2132
2904,1909,2132
2905,1909,2132
2906,1910,2133
2907,1910,2133
2908,1910,2133
2909,1910,2133
2910,1910,2133
2911,1910,2133
2912,1911,2134
2913,1911,2134
2914,1911,2134
2915,1911,2134
2916,1911,2134
2917,1912,2135
2918,1912,2135
2919,1912,2135
2920,1912,2135
2921,1913,2136
2922,1913,2136
2923,1913,2136
2924,1913,2136
2925,1913,2136
2926,1913,2136
2927,1914,2137
2928,1914,2137
2929,1914,2137
2930,1914,2137
2931,1914,2137
2932,1915,2138
2933,1915,2138
2934,1915,2138
2935,1915,2138
2936,1915,2138
2937,1916,2139
2938,1916,2139
2939,1916,2139
2940,1916,2139
2941,1917,2140
2942,1917,2140
2943,1917,2140
2944,1917,2140
2945,1918,2141
2946,1918,2141
2947,1918,2141
2948,1918,2141
2949,1918,2141
2950,1919,2142
2951,1919,2142
2952,1919,2142
2953,1919,2142
2954,1919,2142
2955,1920,2143
2956,1920,2143
2957,1920,2143
2958,1920,2143
2959,1920,2143
2960,1921,2144
2961,1921,2144
2962,1921,2144
2963,1921,2144
2964,1922,2145
2965,1922,2145
2966,1922,2145
2967,1922,2145
2968,1922,2145
2969,1922,2145
2970,1923,2146
2971,1923,2146
2972,1923,2146
2973,1923,2146
2974,1923,2146
2975,1924,2147
2976,1924,2147
2977,1924,2147
2978,1924,2147
2979,1924,2147
2980,1925,2148
2981,1925,2148
2982,1925,2148
2983,1925,2148
2984,1925,2148
2985,1925,2148
2986,1926,2149
2987,1926,2149
2988,1926,2149
2989,1926,2149
2990,1926,2149
2991,1927,2150
2992,1927,2150
2993,1927,2150
2994,1927,2150
2995,1928,2151
2996,1928,2151
2997,1928,2151
2998,1928,2151
2999,1928,2151
3000,1929,2152
3001,1929,2152
3002,1929,2152
3003,1929,2152
3004,1929,2152
3005,1930,2153
3006,1930,2153
3007,1930,2153
3008,1931,2154
3009,1931,2154
3010,1931,2154
3011,1931,2154
3012,1931,2154
3013,1932,2155
